"filename","title","description","feature","topic","role","level"
"help/components/vrs/c-workflow-vrs/vrs-view.md","View virtual report suite information","Click the i (Info) icon next to the report suite name to get info about it.","","Reports and analytics","",""
"help/components/cda/overview.md","Cross-Device Analytics","Change your data from device-focused to person-focused by stitching device data together.","","","",""
"help/components/cda/field-based-stitching.md","Field-based stitching","Understand the prerequisites and limitations of stitching data using field-based stitching.","","","",""
"help/components/cda/device-graph.md","Device graph","Understand the prerequisites and limitations of stitching data using the device graph.","","","",""
"help/components/cda/setup.md","Set up Cross-Device Analytics","Configure a virtual report suite to enable CDA.","","","",""
"help/components/cda/replay.md","How replays work","Understand the concept of ""replay"" in Cross-Device Analytics","","","",""
"help/components/cda/workspace-template.md","CDA Workspace template","Describes each field in the CDA template within Analysis Workspace.","","","",""
"help/components/cda/limit-vrs-date.md","Limit a VRS to certain dates","Understand how to limit a VRS date range to focus on stitched data only.","","","",""
"help/components/cda/faq.md","Cross-Device Analytics FAQ","Frequently asked questions for Cross-Device Analytics","","","",""
"help/components/c-alerts/intellligent-alerts.md","Intelligent alerts","The new Intelligent Alerts system allows for more granular control over alerts and integrates anomaly detection with the alert system.","","","",""
"help/components/c-alerts/alert-builder.md","Alert Builder","Use alerts in Analysis Workspace.","","","",""
"help/components/c-alerts/alert-manager.md","Alert Manager","Manage alerts.","","","",""
"help/components/c-alerts/alerts-use-cases.md","Intelligent alerts - use cases","Use cases for creating and managing intelligent alerts.","","","",""
"help/components/classifications/c-classifications.md","Classifications overview","Customize the grouping of dimension items.","","","",""
"help/components/classifications/importer/c-working-with-saint.md","Classifications importer - overview","Use the importer to upload classifications into Adobe Analytics. You can also export the data for updating prior to an import.","","Admin tools","",""
"help/components/classifications/importer/c-saint-data-files.md","Classification data files","The importer lets you bulk-upload classifications data to analytics reporting in a file. The import requires a specific file format for successful data uploads.","","Admin tools","",""
"help/components/classifications/importer/t-delete-classification-data.md","Delete classification data","Steps that describe how to delete or remove classification data.","","Admin tools","",""
"help/components/classifications/importer/t-classifications-escape-data.md","Escape classification data","Steps that describe how to escape classification data in the classification file.","","Admin tools","",""
"help/components/classifications/importer/nonclassified-keys.md","Non-classified keys","Non-classified keys are grouped together in classification reports as a single line item labeled None. It can be useful to rename None to something more descriptive.","","Admin tools","",""
"help/components/classifications/importer/c-download-saint-data.md","Classification template","(Optional) Before importing classifications into marketing reports, you can download a template that helps you create a classifications data file. The data file uses your desired classifications as column headings, then organizes the reporting data set under the appropriate classification headings.","","Admin tools","",""
"help/components/classifications/importer/import-file.md","Browser and FTP import","After you have copied the appropriate data into the classifications template file, you can import (upload) into Adobe data collection servers.","","Admin tools","",""
"help/components/classifications/importer/browser-import.md","Browser import","You can import (upload) classifications data using the browser. This method limits your classification data upload to a single report suite","","Admin tools","",""
"help/components/classifications/importer/c-uploading-saint-data-files-via-ftp.md","FTP import","Steps that describe how to upload data files via FTP.","","Admin tools","",""
"help/components/classifications/importer/processing-time.md","Classification importer processing time","Understand the time frame Adobe processes classification files, and how to minimize processing time.","","","",""
"help/components/classifications/importer/troubleshooting.md","Classification importer troubleshooting","Common upload issues when using the classification importer.","","","",""
"help/components/classifications/crb/classification-rule-builder.md","Classification Rule Builder workflow","Rather than maintaining and uploading classifications each time your tracking codes change, you can create automatic, rule-based classifications and apply them across multiple report suites. Rules are processed at frequent intervals, depending on your volume of classification related traffic.","","Admin tools","",""
"help/components/classifications/crb/classification-rule-set.md","Classification rule sets","A rule set is a group of classification rules for a specific variable. You apply a variable to the rule set. If you want to create multiple rule sets for one variable, you must apply each rule set to multiple report suites.","","Admin tools","",""
"help/components/classifications/crb/classification-quickstart-rules.md","Classification rules","Classification rules regularly look for unclassified terms. If a rule match is found, the rules add the terms to your classification data tables automatically. You can also use classification rules to overwrite existing keys.","","Admin tools","",""
"help/components/classifications/crb/classification-rule-definitions.md","Classification rules - definitions","Definitions of interface elements on the pages in the Classification Rule Builder.","","Admin tools","",""
"help/components/classifications/crb/sub-classification-rule-builder.md","Sub-classifications and the Rule Builder","You cannot combine the Classification Rule Builder with sub-classifications.","","","",""
"help/components/classifications/c-sub-classifications.md","About sub-classifications","Adobe Analytics support both single-level and multiple-level classifications models. A classification hierarchy allows you to apply a classification to a classification.","","Admin tools","",""
"help/components/classifications/faq.md","Classifications FAQ","Frequently asked questions for using classifications.","","","",""
"help/components/t-calendar-event.md","Calendar events","Steps to add calendar events, and to manage shared events.","","Reports and analytics","",""
"help/components/c-real-time-reporting/realtime.md","Real-time reporting overview","Displays web page traffic and ranks page views in real time. Provides actionable data to base your business decisions on.","","Reports","",""
"help/components/c-real-time-reporting/t-realtime-admin.md","Configure real-time reports","Administrative steps for setting up Real-Time reports.","","Admin tools","",""
"help/components/c-real-time-reporting/realtime-metrics.md","Supported real-time metrics and dimensions","Lists metrics and dimensions supported by Real-Time reports. Classifications are also supported, if you have defined them.","","Reports","",""
"help/components/c-marketing-channels/c-getting-started-mchannel.md","Get Started with Marketing Channels","Learn about the Marketing Channels workflow, the automatic setup, and how to apply template report suite settings to multiple report suites.","","","",""
"help/components/c-marketing-channels/c-channels.md","Manage marketing channels","Add or enable marketing channels in the Marketing Channel Manager. For report suites that have no marketing channels, an automatic setup lets you create several channels for you, along with their rules. You can edit predefined channels to suit your needs, or create your own (up to a total of 25).","","Reports and analytics","",""
"help/components/c-marketing-channels/c-rules.md","Processing rules for Marketing Channels","Marketing Channel processing rules determine if a visitor hit meets the criteria assigned to a channel. The rules process every hit a visitor makes on your site. When a rule does not meet the criteria for a channel, or if rules are not configured correctly, the system assigns the hit to No Channel Identified.","","","",""
"help/components/c-marketing-channels/classifictions-mchannel.md","Classifications in Marketing Channels","Use classifications to categorize values into related groups and to report at the group level. For example, you can classify all Paid Search campaigns into a category like Video Cards. Then you can report on the success of that category relative to metrics like Instances (or click-throughs).","","","",""
"help/components/c-marketing-channels/visitor-engagement.md","Marketing channel expiration","Learn how to specify visitor engagement expiration in Marketing Channels.","","Reports and analytics","",""
"help/components/c-marketing-channels/analyze-mc.md","Analyze Marketing Channels","Learn how to use Marketing Channels dimensions in Workspace.","","","",""
"help/components/c-marketing-channels/c-channel-report-access.md","Marketing Channel permissions","Describes how to run the Marketing Channel report, grant limited admin user rights, and user group permissions to report.","","","",""
"help/components/c-marketing-channels/c-faq.md","Marketing Channels FAQ","Frequently asked questions for Marketing channels.","","","",""
